JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458834.72458,13.994,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.018,Z,18.495,18.169,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.73046,14.008,0.011,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.023,Z,18.520,18.194,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.73123,13.977,0.014,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.023,Z,18.508,18.145,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.73196,14.005,0.015,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.024,Z,18.510,18.137,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.73263,12.460,0.021,,I,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 12.510  K = 12.121,0,1.025,Z,19.610,19.218,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.73320,12.441,0.021,,I,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 12.510  K = 12.121,0,1.025,Z,19.598,19.202,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.73491,13.991,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.027,Z,18.490,18.164,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.73935,13.985,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.032,Z,18.492,18.160,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.74380,13.995,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.038,Z,18.479,18.161,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.74826,13.990,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.044,Z,18.489,18.158,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
