JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458839.76234,13.948,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.103,Z,18.515,18.152,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.76417,13.925,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.108,Z,18.528,18.154,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.76597,13.921,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.113,Z,18.517,18.150,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.76781,13.915,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.118,Z,18.523,18.155,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.76962,13.923,0.014,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.124,Z,18.525,18.156,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.77145,13.950,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.129,Z,18.519,18.157,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.77328,13.961,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.135,Z,18.516,18.162,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.77508,13.926,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.141,Z,18.539,18.164,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.77692,13.939,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.147,Z,18.534,18.158,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.77872,13.944,0.014,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.154,Z,18.516,18.139,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.78054,13.946,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.160,Z,18.522,18.147,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.78238,13.951,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.167,Z,18.529,18.159,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.78421,13.931,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.174,Z,18.532,18.151,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
