HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457476.52183,2016-03-29.0223275,be,1.40,16.045,13.619,0.023,13.685,0.294,V
2457476.52311,2016-03-29.0236153,be,1.40,16.104,13.644,0.023,13.371,0.278,V
2457476.52441,2016-03-29.0249159,be,1.44,16.061,13.603,0.023,13.881,0.290,V
2457478.57331,2016-03-31.0739291,be,1.81,16.162,13.625,0.021,13.618,0.265,V
2457479.57633,2016-04-01.0769982,be,1.55,16.223,13.625,0.020,13.617,0.250,V
2457479.57761,2016-04-01.0782863,be,1.53,16.200,13.637,0.021,13.453,0.255,V
2457479.57891,2016-04-01.0795857,be,1.51,16.238,13.667,0.020,13.100,0.247,V
2457481.53900,2016-04-03.0397832,be,1.47,16.273,13.653,0.019,13.268,0.238,V
2457481.54030,2016-04-03.0410809,be,1.51,16.221,13.625,0.020,13.610,0.250,V
2457481.54159,2016-04-03.0423733,be,1.48,16.243,13.643,0.020,13.383,0.245,V
2457486.55084,2016-04-08.0519032,be,1.45,16.231,13.608,0.019,13.832,0.249,V
2457486.55212,2016-04-08.0531825,be,1.44,16.214,13.638,0.020,13.447,0.252,V
2457486.55342,2016-04-08.0544863,be,1.43,16.230,13.659,0.020,13.189,0.248,V
2457589.94161,2016-07-20.4446267,be,1.71,15.347,13.591,0.043,14.049,0.559,V
2457589.94290,2016-07-20.4459165,be,1.88,15.350,13.619,0.044,13.694,0.557,V
2457589.94419,2016-07-20.4472157,be,1.84,15.351,13.587,0.043,14.092,0.557,V
2457592.93094,2016-07-23.4338731,be,1.48,15.971,13.630,0.025,13.545,0.315,V
2457592.93223,2016-07-23.4351613,be,1.58,15.901,13.583,0.026,14.150,0.336,V
2457592.93352,2016-07-23.4364579,be,1.50,15.883,13.677,0.029,12.969,0.341,V
2457597.91718,2016-07-28.4199623,be,1.66,14.041,13.513,0.135,15.096,1.861,V
2457597.91845,2016-07-28.4212327,be,1.55,99.990,99.990,99.990,99.990,99.990,V
