JD,HJD,UT_date,FWHM,Diff,Limit,mag,mag_err,Filter
2458208.577,2458208.577,2018-03-31.0771046,1.55,-1.45,16.861,14.169,0.018,g
2458209.575,2458209.575,2018-04-01.0753103,1.53,-1.45,16.882,14.204,0.018,g
2458210.566,2458210.566,2018-04-02.0662659,1.44,-1.45,16.875,14.194,0.018,g
2458211.566,2458211.565,2018-04-03.0659746,1.48,-1.45,16.993,14.19,0.016,g
2458212.566,2458212.565,2018-04-04.0660854,1.41,-1.45,17.027,14.202,0.016,g
2458214.553,2458214.552,2018-04-06.0529843,1.68,-1.45,17.104,14.21,0.015,g
2458215.555,2458215.554,2018-04-07.0553304,1.42,-1.45,17.093,14.216,0.015,g
2458216.252,2458216.251,2018-04-07.7517629,1.66,-1.6,17.009,14.212,0.017,g
2458216.544,2458216.543,2018-04-08.0436373,1.55,-1.45,17.098,14.198,0.015,g
2458217.251,2458217.25,2018-04-08.7508228,2.1,-1.6,16.977,14.177,0.016,g
2458218.535,2458218.534,2018-04-10.0349702,1.45,-1.45,17.087,14.188,0.015,g
2458221.541,2458221.54,2018-04-13.0410446,1.48,-1.45,17.097,14.201,0.015,g
2458222.544,2458222.543,2018-04-14.0439951,1.44,-1.45,17.095,14.212,0.015,g
2458223.253,2458223.252,2018-04-14.7534104,1.52,-1.6,17.031,14.209,0.016,g
2458224.249,2458224.247,2018-04-15.7489421,1.49,-1.6,17.037,14.207,0.016,g
2458224.538,2458224.536,2018-04-16.0378076,1.53,-1.45,17.104,14.188,0.015,g
2458226.526,2458226.524,2018-04-18.0260537,1.54,-1.45,17.014,14.203,0.016,g
2458227.533,2458227.531,2018-04-19.0330011,1.42,-1.45,17.088,14.195,0.015,g
2458228.51,2458228.508,2018-04-20.0099035,1.41,-1.45,17.072,14.194,0.015,g
2458229.513,2458229.511,2018-04-21.0130493,1.4,-1.45,17.019,14.165,0.016,g
2458230.507,2458230.506,2018-04-22.0073437,1.42,-1.45,17.023,14.21,0.016,g
2458231.481,2458231.479,2018-04-22.9809827,1.51,-1.45,17.07,14.189,0.015,g
2458242.471,2458242.468,2018-05-03.9706456,1.56,-1.45,17.086,14.192,0.015,g
2458243.474,2458243.471,2018-05-04.9738443,1.57,-1.45,17.073,14.187,0.015,g
2458246.466,2458246.464,2018-05-07.9662502,1.42,-1.45,16.872,14.189,0.018,g
2458247.461,2458247.458,2018-05-08.9607943,1.47,-1.45,17.027,14.212,0.016,g
2458248.502,2458248.5,2018-05-10.0024944,1.42,-1.45,17.054,14.178,0.015,g
2458320.939,2458320.936,2018-07-21.4393925,1.41,-1.45,16.966,14.203,0.017,g
2458321.938,2458321.935,2018-07-22.4385009,1.78,-1.45,16.496,14.241,0.027,g
2458329.917,2458329.914,2018-07-30.4165456,1.71,-1.45,16.993,14.192,0.016,g
2458353.874,2458353.872,2018-08-23.3736243,1.44,-1.45,16.836,14.204,0.019,g
2458361.595,2458361.594,2018-08-31.0949584,1.54,-1.6,16.881,14.181,0.018,g
2458362.588,2458362.587,2018-09-01.0881528,1.57,-1.6,16.949,14.186,0.017,g
2458363.87,2458363.868,2018-09-02.3696597,1.45,-1.45,17.032,14.156,0.015,g
2458379.807,2458379.807,2018-09-18.3070039,1.56,-1.45,17.049,14.181,0.015,g
2458383.79,2458383.79,2018-09-22.2900718,1.51,-1.45,16.981,14.198,0.017,g
2458385.783,2458385.783,2018-09-24.2827173,1.65,-1.45,16.886,14.272,0.02,g
2458388.599,2458388.599,2018-09-27.0986828,1.53,-1.6,16.543,14.242,0.026,g
2458389.99,2458389.99,2018-09-28.4900854,1.71,-1.86,16.548,14.167,0.024,g
2458391.621,2458391.622,2018-09-30.1211994,1.56,-1.6,16.971,14.194,0.017,g
2458392.764,2458392.764,2018-10-01.2638431,1.68,-1.57,16.932,14.192,0.017,g
2458393.836,2458393.836,2018-10-02.3358656,1.56,-1.45,17.008,14.165,0.016,g
2458395.498,2458395.499,2018-10-03.9981784,1.55,-1.6,17.035,14.207,0.016,g
2458396.803,2458396.804,2018-10-05.3033064,1.59,-1.57,17.042,14.199,0.016,g
2458397.862,2458397.863,2018-10-06.3621866,1.39,-1.45,17.104,14.204,0.015,g
2458405.963,2458405.965,2018-10-14.4634861,1.46,-1.86,16.864,14.204,0.019,g
2458406.775,2458406.776,2018-10-15.2747111,1.44,-1.45,17.086,14.193,0.015,g
2458408.809,2458408.81,2018-10-17.3086815,1.5,-1.45,17.093,14.216,0.015,g
2458410.447,2458410.448,2018-10-18.9467137,1.51,-1.6,16.785,14.185,0.02,g
2458410.757,2458410.759,2018-10-19.2573170,1.52,-1.45,17.067,14.207,0.016,g
2458411.761,2458411.763,2018-10-20.2614677,1.56,-1.57,16.999,14.216,0.017,g
2458412.7,2458412.701,2018-10-21.1997219,1.46,-1.45,16.951,14.192,0.017,g
2458413.605,2458413.607,2018-10-22.1051628,1.62,-1.6,16.95,14.181,0.017,g
2458413.709,2458413.711,2018-10-22.2093452,1.44,-1.57,16.927,14.205,0.018,g
2458417.699,2458417.7,2018-10-26.1986855,1.47,-1.45,16.876,14.165,0.018,g
2458417.902,2458417.904,2018-10-26.4022329,1.68,-1.86,16.553,14.165,0.024,g
2458418.58,2458418.582,2018-10-27.0800585,1.51,-1.6,16.832,14.22,0.02,g
2458423.685,2458423.687,2018-11-01.1849089,1.38,-1.45,17.088,14.195,0.015,g
2458425.812,2458425.814,2018-11-03.3115578,1.55,-1.45,17.097,14.204,0.015,g
2458427.803,2458427.805,2018-11-05.3025678,1.41,-1.45,17.083,14.186,0.015,g
2458428.788,2458428.79,2018-11-06.2881542,1.46,-1.45,17.101,14.21,0.015,g
2458430.773,2458430.776,2018-11-08.2732760,1.47,-1.57,17.028,14.198,0.016,g
2458431.686,2458431.688,2018-11-09.1855508,1.54,-1.57,17.028,14.185,0.016,g
2458432.657,2458432.659,2018-11-10.1569883,1.39,-1.45,17.075,14.178,0.015,g
2458433.835,2458433.838,2018-11-11.3354362,1.45,-1.45,17.047,14.21,0.016,g
2458434.777,2458434.78,2018-11-12.2771600,1.67,-1.45,17.058,14.175,0.015,g
2458437.52,2458437.522,2018-11-15.0195509,1.49,-1.6,17.028,14.201,0.016,g
2458437.964,2458437.966,2018-11-15.4636699,1.51,-1.86,16.843,14.25,0.02,g
2458438.511,2458438.514,2018-11-16.0108968,1.45,-1.6,17.024,14.245,0.017,g
2458439.467,2458439.47,2018-11-16.9673190,1.53,-1.6,16.791,14.214,0.02,g
2458439.727,2458439.73,2018-11-17.2268917,1.45,-1.57,17.023,14.206,0.016,g
2458440.665,2458440.668,2018-11-18.1647626,1.53,-1.57,17.008,14.215,0.017,g
2458440.836,2458440.839,2018-11-18.3362625,1.38,-1.45,17.1,14.204,0.015,g
2458441.39,2458441.393,2018-11-18.8900136,1.71,-1.6,16.88,14.192,0.018,g
2458441.835,2458441.838,2018-11-19.3351679,1.46,-1.86,15.976,14.24,0.044,g
2458442.407,2458442.409,2018-11-19.9065164,1.53,-1.6,16.859,14.201,0.019,g
2458442.838,2458442.841,2018-11-20.3384645,1.58,-1.86,16.597,14.251,0.025,g
2458444.59,2458444.593,2018-11-22.0903268,1.58,-1.6,16.869,14.233,0.019,g
2458444.644,2458444.647,2018-11-22.1443555,1.4,-1.45,16.795,14.194,0.02,g
